,name,station,date,artist,song,uri,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,loudness,index,spotify_artist,spotify_song,scraped_artist,scraped_song
2697,Bryan Adams - Cloud Number Nine,radiowien,2021-05-02 04:15:04.590359,Bryan Adams , Cloud Number Nine,spotify:track:66ZB6zO1DN6NZHMoQG7f2T,0.0668,0.592,0.741,0.0,0.218,0.0267,109.594,0.613,-7.117,1403,Bryan Adams,Cloud Number Nine,,
2698,Bryan Adams - Here I Am,radiowien,2021-04-20 17:09:01.963715,Bryan Adams , Here I Am,spotify:track:0gJBPDy458wPeWGHei3TvO,0.0078,0.581,0.777,4.04e-05,0.0891,0.0296,98.963,0.162,-7.122,1405,Bryan Adams,Here I Am - End Title,,
2699,Bryan Adams - Here I Am,radiowien,2021-04-20 17:09:01.963715,Bryan Adams , Here I Am,spotify:track:0gJBPDy458wPeWGHei3TvO,0.0078,0.581,0.777,4.04e-05,0.0891,0.0296,98.963,0.162,-7.122,1405,Bryan Adams,Here I Am - End Title,,
2700,Bryan Adams - Here I Am,radiowien,2021-04-20 17:09:01.963715,Bryan Adams , Here I Am,spotify:track:0gJBPDy458wPeWGHei3TvO,0.0078,0.581,0.777,4.04e-05,0.0891,0.0296,98.963,0.162,-7.122,1405,Bryan Adams,Here I Am - End Title,,
2701,Bryan Adams - Run To You,radiowien,2021-04-19 09:06:01.938219,Bryan Adams , Run To You,spotify:track:2RWFncSWZEhSRRifqiDNVV,0.00515,0.561,0.811,3.6e-05,0.287,0.0265,126.593,0.635,-6.157,1407,Bryan Adams,Run To You,,
2702,Bryan Adams - Run To You,radiowien,2021-04-25 10:09:02.439871,Bryan Adams , Run To You,spotify:track:2RWFncSWZEhSRRifqiDNVV,0.00515,0.561,0.811,3.6e-05,0.287,0.0265,126.593,0.635,-6.157,1407,Bryan Adams,Run To You,,
2703,Bryan Adams - Run To You,radiowien,2021-04-25 10:09:02.439871,Bryan Adams , Run To You,spotify:track:2RWFncSWZEhSRRifqiDNVV,0.00515,0.561,0.811,3.6e-05,0.287,0.0265,126.593,0.635,-6.157,1407,Bryan Adams,Run To You,,
2704,Bryan Ferry - Kiss And Tell,radiowien,2021-04-20 16:27:02.406554,Bryan Ferry , Kiss And Tell,spotify:track:1htcAMNcQLE1zJyCTysRST,0.111,0.728,0.746,0.0281,0.102,0.047,124.104,0.955,-6.47,1413,Bryan Ferry,Kiss & Tell,,
2705,Bryan Ferry - Kiss And Tell,radiowien,2021-04-28 19:06:02.217890,Bryan Ferry , Kiss And Tell,spotify:track:1htcAMNcQLE1zJyCTysRST,0.111,0.728,0.746,0.0281,0.102,0.047,124.104,0.955,-6.47,1413,Bryan Ferry,Kiss & Tell,,
2706,Bryan Ferry - Kiss And Tell,radiowien,2021-04-28 19:06:02.217890,Bryan Ferry , Kiss And Tell,spotify:track:1htcAMNcQLE1zJyCTysRST,0.111,0.728,0.746,0.0281,0.102,0.047,124.104,0.955,-6.47,1413,Bryan Ferry,Kiss & Tell,,
2707,Cage The Elephant - Cry Baby ,fm4,2021-04-22 03:39:02.666897,Cage The Elephant , Cry Baby ,spotify:track:1t8uwF2zfqsqy0s4EtWDrS,0.00414,0.445,0.847,0.0875,0.207,0.0435,143.766,0.448,-6.632,1424,Cage The Elephant,Cry Baby,,
2708,Cage The Elephant - Cry Baby ,fm4,2021-04-28 14:21:02.946292,Cage The Elephant , Cry Baby ,spotify:track:1t8uwF2zfqsqy0s4EtWDrS,0.00414,0.445,0.847,0.0875,0.207,0.0435,143.766,0.448,-6.632,1424,Cage The Elephant,Cry Baby,,
2709,Cage The Elephant - Cry Baby ,fm4,2021-04-22 03:39:02.666897,Cage The Elephant , Cry Baby ,spotify:track:1t8uwF2zfqsqy0s4EtWDrS,0.00414,0.445,0.847,0.0875,0.207,0.0435,143.766,0.448,-6.632,1424,Cage The Elephant,Cry Baby,,
2710,Cage The Elephant - Cry Baby ,fm4,2021-04-28 14:21:02.946292,Cage The Elephant , Cry Baby ,spotify:track:1t8uwF2zfqsqy0s4EtWDrS,0.00414,0.445,0.847,0.0875,0.207,0.0435,143.766,0.448,-6.632,1424,Cage The Elephant,Cry Baby,,
2711,Cage The Elephant - Cry Baby ,fm4,2021-04-22 03:39:02.666897,Cage The Elephant , Cry Baby ,spotify:track:1t8uwF2zfqsqy0s4EtWDrS,0.00414,0.445,0.847,0.0875,0.207,0.0435,143.766,0.448,-6.632,1424,Cage The Elephant,Cry Baby,,
2712,Calum Scott - You are the reason,radiowien,2021-04-21 17:24:02.062088,Calum Scott , You are the reason,spotify:track:69vToJ9BMbbLlFZo7k7A7B,0.918,0.329,0.235,0.0,0.137,0.0303,171.006,0.22,-7.699,1427,Calum Scott,You Are The Reason,,
2713,Calum Scott - You are the reason,radiowien,2021-04-27 22:27:01.640325,Calum Scott , You are the reason,spotify:track:69vToJ9BMbbLlFZo7k7A7B,0.918,0.329,0.235,0.0,0.137,0.0303,171.006,0.22,-7.699,1427,Calum Scott,You Are The Reason,,
2714,Calum Scott - You are the reason,radiowien,2021-04-27 22:27:01.640325,Calum Scott , You are the reason,spotify:track:69vToJ9BMbbLlFZo7k7A7B,0.918,0.329,0.235,0.0,0.137,0.0303,171.006,0.22,-7.699,1427,Calum Scott,You Are The Reason,,
2715,Camo & Krooked - Good Times Bad Times ,fm4,2021-04-20 23:15:02.061965,Camo & Krooked , Good Times Bad Times ,spotify:track:0bhRroouFZ25OrNUcnKTMS,0.00833,0.645,0.689,0.0905,0.12,0.0863,174.958,0.0729,-4.995,1431,Camo & Krooked,Good Times Bad Times - Document One Remix,,
2716,Camo & Krooked - Good Times Bad Times ,fm4,2021-04-20 23:15:02.061965,Camo & Krooked , Good Times Bad Times ,spotify:track:0bhRroouFZ25OrNUcnKTMS,0.00833,0.645,0.689,0.0905,0.12,0.0863,174.958,0.0729,-4.995,1431,Camo & Krooked,Good Times Bad Times - Document One Remix,,
2717,Camo & Krooked - Good Times Bad Times ,fm4,2021-04-20 23:15:02.061965,Camo & Krooked , Good Times Bad Times ,spotify:track:0bhRroouFZ25OrNUcnKTMS,0.00833,0.645,0.689,0.0905,0.12,0.0863,174.958,0.0729,-4.995,1431,Camo & Krooked,Good Times Bad Times - Document One Remix,,
2718,Camouflage - Love Is A Shield,radiowien,2021-04-19 23:57:01.651000,Camouflage , Love Is A Shield,spotify:track:62mqL2adtq2rdOUJTUwjfx,0.0138,0.637,0.451,6.38e-06,0.12,0.0305,131.163,0.388,-13.065,1434,Camouflage,Love Is A Shield - Single Version,,
2719,Camouflage - Love Is A Shield,radiowien,2021-04-19 23:57:01.651000,Camouflage , Love Is A Shield,spotify:track:62mqL2adtq2rdOUJTUwjfx,0.0138,0.637,0.451,6.38e-06,0.12,0.0305,131.163,0.388,-13.065,1434,Camouflage,Love Is A Shield - Single Version,,
2720,Camouflage - Love Is A Shield,radiowien,2021-04-19 23:57:01.651000,Camouflage , Love Is A Shield,spotify:track:62mqL2adtq2rdOUJTUwjfx,0.0138,0.637,0.451,6.38e-06,0.12,0.0305,131.163,0.388,-13.065,1434,Camouflage,Love Is A Shield - Single Version,,
2721,Canned Heat - On The Road Again,radiowien,2021-04-21 14:48:02.472570,Canned Heat , On The Road Again,spotify:track:1GwdWdvSumgsgKorY9qA2g,0.879,0.466,0.182,0.0556,0.341,0.0457,128.811,0.216,-19.537,1435,Canned Heat,On the Road Again,,
2722,Canned Heat - On The Road Again,radiowien,2021-04-30 14:42:01.749003,Canned Heat , On The Road Again,spotify:track:1GwdWdvSumgsgKorY9qA2g,0.879,0.466,0.182,0.0556,0.341,0.0457,128.811,0.216,-19.537,1435,Canned Heat,On the Road Again,,
2723,Canned Heat - On The Road Again,radiowien,2021-04-30 14:42:01.749003,Canned Heat , On The Road Again,spotify:track:1GwdWdvSumgsgKorY9qA2g,0.879,0.466,0.182,0.0556,0.341,0.0457,128.811,0.216,-19.537,1435,Canned Heat,On the Road Again,,
2724,Captain & Tennille - Do That To Me One More Time,radiowien,2021-04-20 19:00:02.706627,Captain & Tennille , Do That To Me One More Time,spotify:track:0m4jVVZrsv0bLkAr1uM6UG,0.563,0.728,0.524,0.000131,0.0913,0.0255,90.262,0.51,-8.227,1436,Captain & Tennille,Do That To Me One More Time,,
2725,Captain & Tennille - Do That To Me One More Time,radiowien,2021-05-01 20:24:01.351064,Captain & Tennille , Do That To Me One More Time,spotify:track:0m4jVVZrsv0bLkAr1uM6UG,0.563,0.728,0.524,0.000131,0.0913,0.0255,90.262,0.51,-8.227,1436,Captain & Tennille,Do That To Me One More Time,,
