,name,station,date,artist,song
195,Eagles - Take It Easy,radiowien,2021-04-19 03:27:02.701508,Eagles , Take It Easy
196,Eagles - Take It To The Limit,radiowien,2021-04-18 11:48:01.743403,Eagles , Take It To The Limit
197,"Earth, Wind & Fire - In The Stone",radiowien,2021-04-18 13:27:01.749277,"Earth, Wind & Fire ", In The Stone
198,Ed Sheeran - I See Fire,oe3,2021-04-18 16:27:00.892783,Ed Sheeran , I See Fire
199,Ed Sheeran - Photograph,oe3,2021-04-19 06:36:01.416767,Ed Sheeran , Photograph
200,Ed Sheeran - Thinking Out Loud,radiowien,2021-04-18 20:12:01.654707,Ed Sheeran , Thinking Out Loud
201,Edie BrickellBarry White - Good Times,radiowien,2021-04-18 20:33:01.844846,Edie BrickellBarry White , Good Times
202,Edmund - Die Blonde mitn Mittelscheitl,oe3,2021-04-19 02:06:01.673391,Edmund , Die Blonde mitn Mittelscheitl
203,Edmund - Leiwand,oe3,2021-04-18 08:45:04.011202,Edmund , Leiwand
204,Elderbrook ft. Camelphat - Body ,fm4,2021-04-18 13:42:01.740503,Elderbrook ft. Camelphat , Body 
205,Elderbrook ft. Camelphat - Body ,fm4,2021-04-19 05:36:03.205572,Elderbrook ft. Camelphat , Body 
206,Eli Preiss - Noch Down (live @ FM4 Blockparty) ,fm4,2021-04-18 23:27:02.733872,Eli Preiss , Noch Down (live @ FM4 Blockparty) 
207,Elija - Out Of Use,radiowien,2021-04-19 02:15:02.605830,Elija , Out Of Use
208,Elton John - Club At The End Of The Street,radiowien,2021-04-19 05:39:01.910937,Elton John , Club At The End Of The Street
209,Elton John - I Guess That's Why They Call It The Blues,radiowien,2021-04-18 08:57:01.843526,Elton John , I Guess That's Why They Call It The Blues
210,Elton John - Little Jeannie,radiowien,2021-04-19 00:18:01.606343,Elton John , Little Jeannie
211,Empire Of The Sun - We Are The People ,fm4,2021-04-18 11:09:02.526450,Empire Of The Sun , We Are The People 
212,Equals - Baby Come Back,radiowien,2021-04-18 11:12:02.437593,Equals , Baby Come Back
213,Eric ClaptonMarcy Levy - Promises,radiowien,2021-04-18 09:24:03.139480,Eric ClaptonMarcy Levy , Promises
214,Erobique - Urlaub In Italien ,fm4,2021-04-18 18:48:02.244535,Erobique , Urlaub In Italien 
215,Eros Ramazzotti - Adesso Tu,radiowien,2021-04-18 20:48:02.138205,Eros Ramazzotti , Adesso Tu
216,Eros Ramazzotti - Terra promessa (Live),oe3,2021-04-18 19:24:01.016305,Eros Ramazzotti , Terra promessa (Live)
217,Eros RamazzottiLuis Fonsi - Per le strade una canzone,radiowien,2021-04-18 16:21:02.500525,Eros RamazzottiLuis Fonsi , Per le strade una canzone
218,Esrap - Welche Regeln Gelten Hier ,fm4,2021-04-18 23:09:03.008461,Esrap , Welche Regeln Gelten Hier 
219,Eurythmics  Aretha Franklin,oe3,2021-04-18 18:36:01.740073,Eurythmics  Aretha Franklin,Eurythmics  Aretha Franklin
220,Eurythmics - There Must Be An Angel,radiowien,2021-04-18 22:51:02.096642,Eurythmics , There Must Be An Angel
221,Eurythmics - Thorn in My Side,oe3,2021-04-18 13:12:02.096035,Eurythmics , Thorn in My Side
222,Eva K. Anderson - Gone Digging,radiowien,2021-04-18 12:42:02.254696,Eva K. Anderson , Gone Digging
223,Ezra Furman - Love You So Bad ,fm4,2021-04-18 12:33:02.356274,Ezra Furman , Love You So Bad 
224,FIBEL - Kommissar ,fm4,2021-04-18 16:21:02.699280,FIBEL , Kommissar 
225,FM4 Blockparty 2: Slav und Gäste,fm4,2021-04-18 23:30:02.018712,FM4 Blockparty 2: Slav und Gäste,FM4 Blockparty 2: Slav und Gäste
226,FM4 Im Sumpf  ,fm4,2021-04-18 19:03:02.041571,FM4 Im Sumpf  ,FM4 Im Sumpf  
227,FM4 Zimmerservice ,fm4,2021-04-18 17:06:02.740835,FM4 Zimmerservice ,FM4 Zimmerservice 
228,Faces X Mirac - Too Far ,fm4,2021-04-18 10:39:02.551655,Faces X Mirac , Too Far 
229,Fairground Attraction - Perfect,radiowien,2021-04-18 09:57:02.237925,Fairground Attraction , Perfect
230,Faith Hill - This Kiss,radiowien,2021-04-19 00:06:01.513826,Faith Hill , This Kiss
231,Falco - Helden von heute,oe3,2021-04-18 17:51:01.498158,Falco , Helden von heute
232,Falco - Junge Roemer,radiowien,2021-04-18 18:42:01.737453,Falco , Junge Roemer
233,Feater - Money ,fm4,2021-04-18 10:15:02.649712,Feater , Money 
234,Ferge X Fisherman - Role ,fm4,2021-04-18 16:30:02.139460,Ferge X Fisherman , Role 
235,Fleetwood Mac - You Make Loving Fun,radiowien,2021-04-18 09:48:02.049561,Fleetwood Mac , You Make Loving Fun
236,Flirtmachine - Whisper ,fm4,2021-04-19 00:45:02.407180,Flirtmachine , Whisper 
237,Flo Fin - Read My Lips,oe3,2021-04-18 20:24:01.010152,Flo Fin , Read My Lips
238,Florence Arman - Out Of The Blue ,fm4,2021-04-18 16:27:02.055098,Florence Arman , Out Of The Blue 
239,Florence Arman - Out Of The Blue ,fm4,2021-04-18 08:48:02.949242,Florence Arman , Out Of The Blue 
240,Floy - Soulful Man,radiowien,2021-04-19 02:57:02.102564,Floy , Soulful Man
241,Folkshilfe - Immer wieder,oe3,2021-04-18 21:21:01.095057,Folkshilfe , Immer wieder
242,Fontaines DC - Big ,fm4,2021-04-18 14:18:04.547802,Fontaines DC , Big 
243,Foster The People - SHC ,fm4,2021-04-19 05:09:02.702227,Foster The People , SHC 
244,Frag den Trishes: Shaggy,fm4,2021-04-18 16:42:02.749225,Frag den Trishes: Shaggy,Frag den Trishes: Shaggy
245,"France Gall - Ella, Elle L'a",radiowien,2021-04-19 01:57:02.903083,France Gall ," Ella, Elle L'a"
